Designator,Mid X,Mid Y,Rotation,Layer
C101,92.6084,8.643999,270.0,top
C102,83.921601,8.6668,270.0,top
C103,51.6128,4.114799,270.0,top
C104,53.4416,3.759199,90.0,top
C105,64.2112,6.908799,270.0,top
C106,64.2112,2.831799,270.0,top
C107,77.724,24.764999,180.0,top
C108,78.1812,23.520399,0.0,top
C109,78.1558,21.488399,180.0,top
C201,95.1933,48.086699,180.0,top
C202,94.3805,46.207099,0.0,top
C203,23.335999,4.876799,90.0,top
C204,86.918799,41.91,270.0,top
C205,85.039199,42.7228,90.0,top
C206,34.4424,5.791199,270.0,top
C207,31.5722,14.833599,270.0,top
C208,86.8172,32.740599,270.0,top
C209,84.937601,33.553399,90.0,top
D101,81.3816,3.383599,0.0,top
D102,81.3816,7.447599,0.0,top
D103,51.2064,7.619999,0.0,top
D104,70.9676,10.363199,0.0,top
D105,75.138801,10.3632,180.0,top
D106,94.8944,43.713399,270.0,top
D201,95.091699,50.374697,0.0,top
D202,89.204799,40.792399,270.0,top
D203,32.9438,11.302999,180.0,top
D204,89.1032,31.637198,270.0,top
F101,32.6644,42.900599,90.0,top
J101,12.1266,34.468399,270.0,top
J102,8.839,6.095999,0.0,top
J103,73.056001,3.8466,0.0,top
J104,72.1868,20.808399,270.0,top
K201,81.4682,50.464299,180.0,top
K202,77.0128,39.928799,270.0,top
K203,77.0128,30.784799,270.0,top
L101,49.784,3.759199,270.0,top
PS101,47.8888,33.099399,270.0,top
Q201,94.504498,53.598198,90.0,top
Q202,86.5276,37.361099,270.0,top
Q203,86.4108,28.170898,270.0,top
R101,80.924399,4.907602,0.0,top
R102,80.924399,5.9236,0.0,top
R103,78.176401,22.478999,180.0,top
R104,70.713599,11.328397,0.0,top
R105,75.387199,11.328399,180.0,top
R106,97.1804,26.009599,180.0,top
R107,82.397598,5.415601,270.0,top
R108,72.616,14.844199,90.0,top
R109,73.5812,14.844199,90.0,top
R110,93.3958,44.475399,90.0,top
R202,26.416,4.876799,270.0,top
R203,96.774001,52.657681,270.0,top
R204,24.859999,4.876798,90.0,top
R205,96.774,54.58808,90.0,top
R206,35.7886,26.187399,270.0,top
R207,35.7886,21.716999,270.0,top
R208,27.3558,20.954999,180.0,top
R209,89.255599,36.764,0.0,top
R210,89.255599,37.7952,0.0,top
R211,32.0802,20.954999,180.0,top
R212,26.4414,16.687799,270.0,top
R213,34.1122,14.858999,270.0,top
R214,29.0322,14.858999,270.0,top
R215,89.1586,27.650399,0.0,top
R216,89.1586,28.666399,0.0,top
RV101,23.368,35.813999,270.0,top
RV201,67.6848,49.970999,90.0,top
SW101,95.9058,6.129599,90.0,top
SW102,87.2236,6.126799,90.0,top
U101,58.6744,5.043199,180.0,top
U102,73.0504,11.429999,90.0,top
U103,88.9892,17.571199,0.0,top
U201,30.9466,4.663599,180.0,top
